date,value
2015-05-07 00:00:00+00:00,5180.8254974353595
2015-05-08 00:00:00+00:00,5361.035958670556
2015-05-09 00:00:00+00:00,5508.583273806874
2015-05-10 00:00:00+00:00,5464.656973880794
2015-05-11 00:00:00+00:00,5441.680140073307
2015-05-12 00:00:00+00:00,5470.739076947482
2015-05-13 00:00:00+00:00,5452.04224159433
2015-05-14 00:00:00+00:00,5334.22965256182
2015-05-15 00:00:00+00:00,5348.646489460636
2015-05-16 00:00:00+00:00,5357.206486369308
2015-05-17 00:00:00+00:00,5332.652811026012
2015-05-18 00:00:00+00:00,5341.438071011228
2015-05-19 00:00:00+00:00,5272.057043435677
2015-05-20 00:00:00+00:00,5239.393897336799
2015-05-21 00:00:00+00:00,5283.320197262877
2015-05-22 00:00:00+00:00,5311.02755567779
2015-05-23 00:00:00+00:00,5416.450675500379
2015-05-24 00:00:00+00:00,5391.897000157083
2015-05-25 00:00:00+00:00,5424.785409332507
2015-05-26 00:00:00+00:00,5348.421226384093
2015-05-27 00:00:00+00:00,5334.004389485277
2015-05-28 00:00:00+00:00,5346.6191217717405
2015-05-29 00:00:00+00:00,5344.591754082844
2015-05-30 00:00:00+00:00,5336.257020250716
2015-05-31 00:00:00+00:00,5261.019152685022
2015-06-01 00:00:00+00:00,5185.330758966239
2015-06-02 00:00:00+00:00,5035.98133921757
2015-06-03 00:00:00+00:00,5087.341320669601
2015-06-04 00:00:00+00:00,5087.79184682269
2015-06-05 00:00:00+00:00,5058.732909948513
2015-06-06 00:00:00+00:00,5067.743433010273
2015-06-07 00:00:00+00:00,5079.2318499140165
2015-06-08 00:00:00+00:00,5043.415020743522
2015-06-09 00:00:00+00:00,5160.5518205463995
2015-06-10 00:00:00+00:00,5163.93076669456
2015-06-11 00:00:00+00:00,5152.442349790816
2015-06-12 00:00:00+00:00,5174.067605139039
2015-06-13 00:00:00+00:00,5169.111817455072
2015-06-14 00:00:00+00:00,5259.21704807267
2015-06-15 00:00:00+00:00,5262.1454680677425
2015-06-16 00:00:00+00:00,5338.509651016157
2015-06-17 00:00:00+00:00,5672.3495304543585
2015-06-18 00:00:00+00:00,5636.082175130774
2015-06-19 00:00:00+00:00,5615.132709012183
2015-06-20 00:00:00+00:00,5549.58115373788
2015-06-21 00:00:00+00:00,5544.400102977369
2015-06-22 00:00:00+00:00,5511.2864307254
2015-06-23 00:00:00+00:00,5575.261144463896
2015-06-24 00:00:00+00:00,5508.132747653785
2015-06-25 00:00:00+00:00,5407.214889362075
2015-06-26 00:00:00+00:00,5461.278027732635
2015-06-27 00:00:00+00:00,5473.892760019097
2015-06-28 00:00:00+00:00,5667.393742770391
2015-06-29 00:00:00+00:00,5611.5284997874805
2015-06-30 00:00:00+00:00,5801.425273314068
2015-07-01 00:00:00+00:00,5942.8904853836975
2015-07-02 00:00:00+00:00,5834.7642086425785
2015-07-03 00:00:00+00:00,5740.829505723733
2015-07-04 00:00:00+00:00,5787.45896256834
2015-07-05 00:00:00+00:00,5871.256827042706
2015-07-06 00:00:00+00:00,6121.298842006542
2015-07-07 00:00:00+00:00,6080.751488228622
2015-07-08 00:00:00+00:00,5996.052571448081
2015-07-09 00:00:00+00:00,6103.953585112655
2015-07-10 00:00:00+00:00,6076.471489774287
2015-07-11 00:00:00+00:00,6457.616615286728
2015-07-12 00:00:00+00:00,6627.915501153989
2015-07-13 00:00:00+00:00,7031.812197397374
2015-07-14 00:00:00+00:00,6602.010247351428
2015-07-15 00:00:00+00:00,6476.538713716423
2015-07-16 00:00:00+00:00,6435.76609686196
2015-07-17 00:00:00+00:00,6293.399832486154
2015-07-18 00:00:00+00:00,6320.431401671433
2015-07-19 00:00:00+00:00,6255.780898703307
2015-07-20 00:00:00+00:00,6208.4756526290685
2015-07-21 00:00:00+00:00,6307.366143231882
2015-07-22 00:00:00+00:00,6246.995638718092
2015-07-23 00:00:00+00:00,6259.835634081099
2015-07-24 00:00:00+00:00,6248.572480253899
2015-07-25 00:00:00+00:00,6512.806069040006
2015-07-26 00:00:00+00:00,6525.871327479557
2015-07-27 00:00:00+00:00,6620.256556551492
2015-07-28 00:00:00+00:00,6627.464975000899
2015-07-29 00:00:00+00:00,6662.38075186522
2015-07-30 00:00:00+00:00,6536.909218230214
2015-07-31 00:00:00+00:00,6498.614495217735
2015-08-01 00:00:00+00:00,6424.277679958215
2015-08-02 00:00:00+00:00,6341.831393943114
2015-08-03 00:00:00+00:00,6366.385069286409
2015-08-04 00:00:00+00:00,6328.766135503562
2015-08-05 00:00:00+00:00,6431.486098407623
2015-08-06 00:00:00+00:00,6369.764015434568
2015-08-07 00:00:00+00:00,6299.481935552842
2015-08-08 00:00:00+00:00,6306.0145647726185
2015-08-09 00:00:00+00:00,5902.343131605778
2015-08-10 00:00:00+00:00,6028.71571754696
2015-08-11 00:00:00+00:00,5972.8504745640475
2015-08-12 00:00:00+00:00,6126.930418920142
2015-08-13 00:00:00+00:00,6013.172565265424
2015-08-14 00:00:00+00:00,5962.037846889937
